City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,Mayumba,-3.432,10.6554,77.25,93,78,4.38,GA,2022-04-10 23:19:26
223,Padang,-0.9492,100.3543,73.45,88,81,3.24,ID,2022-04-10 23:19:26
224,Kourou,5.1552,-52.6478,79.11,87,68,10.07,GF,2022-04-10 23:19:27
225,San Jose,37.3394,-121.895,73.9,32,75,18.41,US,2022-04-10 23:18:09
226,Miltenberg,49.7039,9.2644,40.05,84,64,1.01,DE,2022-04-10 23:19:27
227,Shirokiy,49.758,129.523,33.08,96,82,10.83,RU,2022-04-10 23:19:28
228,Scarborough,54.2797,-0.4044,45.66,79,100,10.0,GB,2022-04-10 23:15:19
229,Pokaran,26.9167,71.9167,81.57,30,87,8.84,IN,2022-04-10 23:20:28
230,Key West,24.5557,-81.7826,73.99,56,0,13.8,US,2022-04-10 23:20:28
231,Villaviciosa,43.4813,-5.4357,62.01,74,87,6.78,ES,2022-04-10 23:19:34
232,Saint George,37.1041,-113.5841,69.64,7,0,5.01,US,2022-04-10 23:17:32
233,Shestakovo,56.4915,103.96,25.83,96,100,2.3,RU,2022-04-10 23:20:29
234,Panguna,-6.3164,155.4848,79.84,60,87,1.36,PG,2022-04-10 23:20:29
235,Jos,9.9167,8.9,76.14,36,85,1.3,NG,2022-04-10 23:20:30
236,Hollola,61.05,25.4333,34.54,97,100,12.62,FI,2022-04-10 23:20:30
237,Richards Bay,-28.783,32.0377,65.03,96,100,7.56,ZA,2022-04-10 23:20:31
238,Bambous Virieux,-20.3428,57.7575,75.45,83,20,14.97,MU,2022-04-10 23:20:31
239,Porto Novo,6.4965,2.6036,84.02,84,67,4.07,BJ,2022-04-10 23:19:05
240,Chokurdakh,70.6333,147.9167,-9.71,100,100,2.35,RU,2022-04-10 23:20:31
241,Upata,8.0086,-62.3989,77.81,70,83,9.71,VE,2022-04-10 23:20:32
242,Jiwani,25.05,61.7417,81.79,70,81,16.26,PK,2022-04-10 23:20:32
243,Zelenoborsk,61.4669,64.0333,34.03,97,100,8.7,RU,2022-04-10 23:20:32
244,Mahibadhoo,3.7833,72.9667,84.85,71,49,13.96,MV,2022-04-10 23:20:33
245,Faanui,-16.4833,-151.75,81.64,75,7,16.89,PF,2022-04-10 23:20:33
246,Labuhan,-6.8844,112.2051,77.07,87,37,5.5,ID,2022-04-10 23:20:33
247,Fenyi,27.8112,114.6681,69.17,69,0,1.79,CN,2022-04-10 23:20:34
248,Zhezkazgan,47.8043,67.7144,52.92,28,98,21.16,KZ,2022-04-10 23:20:34
249,Cabo San Lucas,22.8909,-109.9124,82.62,59,0,18.41,MX,2022-04-10 23:20:34
250,San Ramon,37.7799,-121.978,74.59,36,0,19.57,US,2022-04-10 23:20:35
251,Halifax,44.6453,-63.5724,44.69,93,100,4.0,CA,2022-04-10 23:16:55
252,Norman Wells,65.282,-126.8329,19.44,45,40,12.66,CA,2022-04-10 23:20:35
253,Nedjo,9.5046,35.5019,64.38,57,29,3.0,ET,2022-04-10 23:20:36
254,Sola,-13.8833,167.55,82.09,75,33,10.36,VU,2022-04-10 23:20:36
255,Ban Nahin,18.2418,104.2122,72.81,69,3,2.93,LA,2022-04-10 23:20:36
256,Malakal,9.5334,31.6605,88.61,38,72,3.06,SS,2022-04-10 23:20:37
257,Kaitangata,-46.2817,169.8464,56.1,57,10,6.22,NZ,2022-04-10 23:20:37
258,Tuatapere,-46.1333,167.6833,59.88,61,20,9.48,NZ,2022-04-10 23:20:37
259,Palafrugell,41.9174,3.1631,57.42,51,50,1.01,ES,2022-04-10 23:20:37
260,Marawi,7.9986,124.2928,70.5,93,100,6.4,PH,2022-04-10 23:20:38
261,Antalaha,-14.9003,50.2788,73.83,91,86,7.16,MG,2022-04-10 23:20:38
262,Caravelas,-17.7125,-39.2481,78.17,84,46,6.53,BR,2022-04-10 23:20:39
263,Yaan,7.3833,8.5667,81.63,53,65,5.82,NG,2022-04-10 23:20:39
264,Yerbogachen,61.2767,108.0108,12.88,96,76,3.8,RU,2022-04-10 23:20:39
265,Tungor,53.3808,142.9564,26.65,86,100,12.95,RU,2022-04-10 23:20:40
266,Khvorostyanka,52.6096,48.9597,48.16,86,9,3.51,RU,2022-04-10 23:20:40
267,Touros,-5.1989,-35.4608,80.46,82,100,11.03,BR,2022-04-10 23:20:40
268,Weyburn,49.6668,-103.8511,46.62,25,95,17.27,CA,2022-04-10 23:20:40
269,Krasnoarmeysk,51.0239,45.6969,49.21,88,78,6.08,RU,2022-04-10 23:20:41
270,Hami,42.8,93.45,52.43,22,96,1.61,CN,2022-04-10 23:18:16
271,Rabat,33.9911,-6.8401,61.16,92,75,3.44,MA,2022-04-10 23:18:13
